Region,2017,2018,2019,2020,2021,2022,▼ 2023
Norway,"1,460.30","1,545.40","1,465.50","1,709.80","1,913.80","1,574.70","1,564.30"
United States of America,"1,033.70","1,056.40","1,082.40","1,303.30","1,356.20","1,463.20","1,508.50"
Liechtenstein,990.5,"1,004",993.2,"1,190.20","1,276.10","1,514.20","1,490.80"
Finland,"1,125.70","1,211.80","1,173","1,272.90","1,401.10","1,426.50","1,466.50"
Bermuda,998.8,"1,002.60","1,006.10","1,241","1,242.10","1,397.70","1,432.80"
Ireland,"1,145.10","1,211.50","1,168.50","1,360.80","1,456.40","1,384.90","1,386.80"
Monaco,"1,003.20","1,061.50","1,039.10","1,256.20","1,305.60","1,358.80","1,330.50"
Iceland,"1,086.50","1,167.80","1,074.20","1,150.20","1,220.90","1,366.70","1,314.10"
Cayman Islands,886.3,894.7,901.6,"1,121.10","1,119.70","1,282.30","1,307.10"
Switzerland,"1,057","1,066","1,048.70","1,179","1,205.70","1,289.70","1,294.20"
Denmark,"1,058.70","1,131.30","1,092.60","1,246.40","1,343.30","1,268","1,287.30"
United Kingdom of Great Britain and Northern Ireland,867.9,918.6,896.9,"1,036.50","1,145.30","1,124.30","1,151.80"
Sweden,961.8,991.5,932.8,"1,083.80","1,202.60","1,125","1,108"
Luxembourg,813.8,865,838.7,987.6,"1,037.20","1,130.30","1,105.50"
Gibraltar,870.2,906.6,876.2,"1,050.50","1,147.60","1,124.70","1,099.50"
Belgium,833.2,886.3,848.4,952.9,990.7,"1,007.50","1,044.50"
Australia,"1,057.10","1,050.30",992.7,"1,092.60","1,237","1,054.10","1,033.30"
Bahamas,663,673,690.7,816.9,826.2,977.5,"1,025"
New Zealand,971,957.3,923.2,"1,000.70","1,145","1,023.70","1,007.70"
Canada,808,811.1,802.3,928.9,"1,022.30",986.7,984.9
Germany,682.3,726.8,701.9,804.1,870.9,903.9,962.4
Austria,750.9,812.4,795.4,884,932.6,943.4,962.1
Japan,"1,115.80","1,136.60","1,157.30","1,281.90","1,269.40",940.8,960.6
New Caledonia,709.9,776.3,768.3,922.3,971.9,927.5,913.5
Puerto Rico,622.1,647.1,639.9,690.5,699.1,824.3,849.3
Andorra,627.7,654.6,626.4,752.1,781,851.9,844.3
French Polynesia,540.9,587.9,579.5,725.6,772,814.6,827.2
Aruba,547.2,561.9,571.4,652,656.5,799.6,820.7
Uruguay,565.8,554.8,507.9,489.2,521.9,771.7,802.9
Curaçao,491.3,515.3,541.8,622.1,633.3,760.7,799.1
British Virgin Islands,474,470.3,478.1,595.1,603,772.5,788.8
Estonia,518.1,563.3,552,602.8,673.7,788.1,783.3
Malta,545.9,568.1,533.1,657.6,693.3,788.3,767.6
Israel,679.9,680.2,687.2,801.2,856.7,754.1,759.3
France,643.5,680.5,648,692.3,734,721.2,753.3
Croatia,430.2,472.2,472.6,499.1,565.9,621.9,660.1
Italy,528.8,562.3,547.3,583.2,622.6,601,627.1
Latvia,383.3,420.9,409.5,464.9,517.5,602.6,615.6
Qatar,446,467.3,506.1,496.5,583.7,584,608
Czechia,391.8,438.5,434.4,482.5,544.9,607.9,593.8
Barbados,348,361.9,367.7,424.9,436.7,559.7,591.6
Mexico,334.1,346.5,362.5,374.7,424.8,550.8,583.5
Poland,341.7,374,366.4,426.5,477.1,558.8,583
Costa Rica,394.3,401.1,406.7,442,432.3,545.6,572.4
Saint Kitts and Nevis,335.8,344.6,355.7,441.6,432,541.7,565.5
Chile,482.4,497.1,457.6,451,524.8,563.3,560.9
Spain,425,454.1,440.2,541.8,576.7,527.5,557.4
Lithuania,373.8,419,415.9,464.2,515.7,548.8,554.8
Serbia,299.1,339.4,338.9,387,432.1,525.1,554.1
Hungary,348.1,380.1,380.5,420.9,469,561.7,536.7
Kuwait,465.4,473.7,481.8,524.6,562.3,553.3,526.9
Slovenia,368.7,396.5,384.8,450.5,484.7,491.8,522.8
Saudi Arabia,444.1,462.8,473.7,493.7,513.2,522.4,518
Trinidad and Tobago,325,328.4,331.7,377,378.7,499.3,517.1
Slovakia,385,412.7,400.9,447.7,474.8,516.5,510.9
Antigua and Barbuda,336,355.2,367.8,403.9,403.9,480.4,508.4
Cyprus,353.4,374.5,363.7,449.7,472,486.6,495.3
Guam,324.8,338.1,355.4,433.5,445.9,481.3,492.4
Bulgaria,253.2,279,280.5,359.4,392.9,470.8,481.9
Portugal,355.4,384.2,375.2,432.9,465.2,447.8,474.6
Bahrain,396,414.6,434.7,488.3,488.4,464.4,471.2
Montenegro,307.1,338.1,333.6,377.1,404.4,457.9,469.7
Albania,240.9,276.2,285.1,338.6,373.8,474.4,451.8
Argentina,516.5,399.6,323.7,299.3,338.5,438.2,439.7
Republic of Korea,360.2,381.7,365.4,421.9,447.6,416.1,427.7
Panama,302.3,311.6,321.6,382.2,398.9,403,420.9
American Samoa,321.8,341.8,356.5,383.8,396.1,403.4,419.2
Romania,232.1,259.4,265.6,315.2,347.6,405.3,418.5
Greece,316.5,335.4,323.5,382.4,411.7,406.6,416.5
Kazakhstan,187.6,191.6,195.2,251.6,289,396.5,413.3
North Macedonia,273.8,301.7,301.3,337.4,362.3,395.6,404.9
United Arab Emirates,392.5,417.5,414.1,480.8,475.2,375.2,384.9
Singapore,312.6,323.7,324.8,356.6,389.5,388,376.3
Republic of Moldova,169.5,196.7,207.2,282.7,296.3,364.7,375.7
Georgia,195.4,211.7,208.9,218.6,239,344.9,373.3
Brunei Darussalam,287.2,296.2,299.1,318.3,351.3,369.4,373
Saint Lucia,193.9,196.6,204.3,258.6,265.5,350.7,368.4
Oman,283.9,297.1,323.5,379.7,405.1,376.2,364.8
Dominica,202.9,201,207.7,253.1,260.4,326.2,344.3
El Salvador,254.9,262.1,268.9,292.8,322.2,336.4,341.2
Belize,175.5,175.4,179.9,215.2,223.9,315.6,325.3
Russian Federation,308.4,302.4,308.1,291.8,313.6,311.4,324.4
Grenada,200.1,203.1,210.4,239,240,301.9,317
Saint Vincent and the Grenadines,166.6,166.8,173.8,219.3,226.6,295,311.2
Nauru,247.3,244,241.7,257.7,281.8,305.1,309.9
Brazil,281.4,255.3,245.5,210.9,223.8,282.4,306
Turkmenistan,122.6,139.5,163.3,181.8,202.6,280.5,298.6
Armenia,161.1,167.6,176.5,206.2,213.7,283,298.4
Guyana,116.3,114.5,116.1,163.1,176.7,272.5,294.1
Bosnia and Herzegovina,211.4,224.3,222.3,253.4,273.4,278.1,292.4
Azerbaijan,152.4,167.3,181.6,191.8,222.7,279.3,288.3
Seychelles,257.7,262.5,268.4,280.3,234.7,283.6,286.9
Mauritius,211.3,223.6,223.3,234.6,237.9,276.4,282.4
Guatemala,271.9,276.3,282.2,255.9,270.5,282.3,281.9
Jamaica,136.9,139.2,142.8,179.3,188.3,259.6,265.6
